Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-12-14,118.54700469970703,157.84849548339844,86.95597839355469,272.5100402832031,205.5334014892578,13.271427154541016,213.27667236328125
2020-12-15,124.4850845336914,158.25599670410156,87.3936767578125,273.8617248535156,205.4662628173828,13.323033332824707,211.0833282470703
2020-12-16,124.41693115234375,162.04800415039062,87.20063018798828,273.98101806640625,210.40789794921875,13.205365180969238,207.58999633789062
2020-12-17,125.2833251953125,161.8040008544922,86.37289428710938,272.7983093261719,210.54220581054688,13.303836822509766,218.63333129882812
2020-12-18,123.29747009277344,160.08250427246094,85.66375732421875,274.70648193359375,209.74578857421875,13.234783172607422,231.6666717529297
2020-12-21,124.82577514648438,160.3090057373047,86.07762145996094,271.11865234375,213.58396911621094,13.294861793518066,216.6199951171875
2020-12-22,128.37890625,160.3260040283203,85.36599731445312,265.45355224609375,214.87933349609375,13.241013526916504,213.44667053222656
2020-12-23,127.48332214355469,159.2635040283203,85.76350402832031,266.4673156738281,212.0774688720703,12.97276782989502,215.32666015625
2020-12-24,128.46649169921875,158.63450622558594,86.05776977539062,265.76165771484375,213.7374725341797,12.957310676574707,220.58999633789062
2020-12-28,133.06118774414062,164.197998046875,88.03284454345703,275.30279541015625,215.8580780029297,12.863823890686035,221.22999572753906
2020-12-29,131.2895050048828,166.10000610351562,87.22893524169922,275.08416748046875,215.08084106445312,12.906949996948242,221.99667358398438
2020-12-30,130.17005920410156,164.29249572753906,86.16149139404297,270.2042541503906,212.71078491210938,13.108882904052734,231.5933380126953
2020-12-31,129.16737365722656,162.84649658203125,86.97483825683594,271.4863586425781,213.4208221435547,13.018389701843262,235.22332763671875
2021-01-04,125.9744644165039,159.3314971923828,85.65928649902344,267.2922668457031,208.88221740722656,13.076725006103516,243.2566680908203
2021-01-05,127.53201293945312,160.92550659179688,86.35005187988281,269.3097839355469,209.08370971679688,13.367156982421875,245.0366668701172
2021-01-06,123.23906707763672,156.91900634765625,85.49800109863281,261.6966857910156,203.66232299804688,12.579126358032227,251.9933319091797
2021-01-07,127.4443359375,158.10800170898438,88.05171203613281,267.0934143066406,209.45791625976562,13.306581497192383,272.0133361816406
2021-01-08,128.54437255859375,159.13499450683594,89.21739959716797,265.93060302734375,210.73410034179688,13.239519119262695,293.3399963378906
2021-01-11,125.55585479736328,155.7104949951172,87.15597534179688,255.26634216308594,208.69032287597656,13.58329963684082,270.39666748046875
2021-01-12,125.3806381225586,156.04150390625,86.22004699707031,249.55157470703125,206.23387145996094,13.446932792663574,283.14666748046875
2021-01-13,127.41514587402344,158.29449462890625,86.70736694335938,250.09820556640625,207.58682250976562,13.493803024291992,284.8033447265625
2021-01-14,125.48773193359375,156.37350463867188,85.89698028564453,244.13497924804688,204.4011993408203,13.163228988647461,281.6666564941406
2021-01-15,123.76473236083984,155.21249389648438,85.73323059082031,249.81993103027344,204.04611206054688,12.823437690734863,275.38665771484375
2021-01-19,124.43639373779297,156.03799438476562,88.55441284179688,259.500244140625,207.6827850341797,12.988725662231445,281.51666259765625
2021-01-20,128.52490234375,163.16900634765625,93.2985610961914,265.84112548828125,215.26315307617188,13.328269004821777,283.48333740234375
2021-01-21,133.23641967773438,165.34950256347656,93.50103759765625,271.1981201171875,215.86766052246094,13.828611373901367,281.663330078125
2021-01-22,135.37802124023438,164.6114959716797,93.91838073730469,272.818115234375,216.8080291748047,13.67404556274414,282.21331787109375
2021-01-25,139.1258087158203,164.6999969482422,94.00372314453125,276.30670166015625,220.2431640625,13.614960670471191,293.6000061035156
2021-01-26,139.35940551757812,166.30650329589844,94.68211364746094,280.3218994140625,222.9298553466797,13.397573471069336,294.36334228515625
2021-01-27,138.28863525390625,161.62899780273438,90.26499938964844,270.47259521484375,223.476806640625,12.881526947021484,288.0533447265625
2021-01-28,133.45057678222656,161.88099670410156,91.96514129638672,263.3763732910156,229.26283264160156,13.014400482177734,278.4766540527344
2021-01-29,128.456787109375,160.30999755859375,90.68282318115234,256.7472229003906,222.57485961914062,12.953325271606445,264.510009765625
2021-02-01,130.57888793945312,167.1439971923828,93.94368743896484,260.4046936035156,229.9536895751953,13.19987678527832,279.9366760253906
2021-02-02,131.4063262939453,169.0,95.2364273071289,265.443603515625,229.8193817138672,13.518733978271484,290.92999267578125
2021-02-03,130.3842010498047,165.62649536132812,102.17202758789062,265.0162048339844,233.16818237304688,13.492555618286133,284.89666748046875
2021-02-04,133.7425994873047,166.5500030517578,101.91148376464844,264.8572082519531,232.21823120117188,13.625930786132812,283.3299865722656
2021-02-05,133.32826232910156,167.6074981689453,103.65827941894531,266.4573669433594,232.40049743652344,13.552886962890625,284.07666015625
